buoy,alias,description,active,table1,table2,table3,table4,table5,table6,inmysql,health_C,health_E,health_M,health_P,health_W,health_T,angle,lon,lat,kind,lease,sensor,depth,depth_model,anemometer,url_station,url_data,url_model
B,,,TRUE,ven,eng,salt,met,,sum,TRUE,4,4,4,4,-999,4,145,-94.89905,28.9823,AA3900 DCS,GA-252,2,19,,4,,,
D,,,TRUE,ven,eng,salt,,,sum,TRUE,4,4,-999,4,-999,4,140,-96.8429,27.9396,AA3900 DCS,MA-691,2,18,,,,,
F,,,TRUE,ven,eng,salt,,,sum,TRUE,1,1,-999,1,-999,1,155,-96.2416,28.8425,AA3900 DCS,HI-A69,2,24,,,,,
J,,,TRUE,ven,eng,salt,met,,sum,TRUE,1,1,1,1,-999,1,90,-97.0507,26.1914,AA3900 DCS,PS-1126,2,20,,4,,,
K,,,TRUE,ven,eng,salt,met,wave,sum,TRUE,1,1,1,1,1,1,90,-96.4998,26.2168,AA3900 DCS,PI-745,2,62,,4,,,
R,,,TRUE,ven,eng,salt,,,sum,TRUE,1,1,-999,1,-999,1,145,-93.6417,29.635,AA3900 DCS,WC-055,2,9,,,,,
V,,,TRUE,ven,eng,salt,met,wave,sum,TRUE,1,1,1,1,1,1,173,-93.5973,27.8966,AA3900 DCS,HI-A389,2,89,,4,,,
W,,,TRUE,ven,eng,salt,,,sum,TRUE,4,4,-999,4,-999,4,173,-96.0058,28.3507,AA3900 DCS,BR-492,2,21,,,,,
X,,,TRUE,ven,eng,salt,met,wave,sum,TRUE,4,4,4,4,4,4,90,-96.3383,27.066,AA3900 DCS,,2,289,,4,,,
42001,,"MID GULF - 180 nm South of Southwest Pass, LA",TRUE,ndbc,,,,,,TRUE,,,,,,,,-89.68,25.92,,,,,,,http://www.ndbc.noaa.gov/station_page.php?station=42001,,
42002,,"WEST GULF - 207 NM East of Brownsville, TX",TRUE,ndbc,,,,,,TRUE,,,,,,,,-94.41666667,25.16945,,,,,,,http://www.ndbc.noaa.gov/station_page.php?station=42002,,
42019,,"FREEPORT, TX - 60 NM South of Freeport, TX",TRUE,ndbc,,,,,,TRUE,,,,,,,,-95.36,27.91305,,,,82,,5,http://www.ndbc.noaa.gov/station_page.php?station=42019,,
42020,,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",TRUE,ndbc,,,,,,TRUE,,,,,,,,-96.7,26.95,,,,77,,5,http://www.ndbc.noaa.gov/station_page.php?station=42020,,
42035,,"GALVESTON,TX - 22 NM East of Galveston, TX",TRUE,ndbc,,,,,,TRUE,,,,,,,,-94.40833333,29.24638333,,,,16,,5,http://www.ndbc.noaa.gov/station_page.php?station=42035,,
